HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2020,0
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,All,22.8
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2016,25.7
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2017,17.6
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2018,28.4
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2019,28.1
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2020,37.5
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,All,27.6
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2016,39.4
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2017,24.2
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2018,26.6
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2019,24.4
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2020,42.4
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,All,31.4
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2016,36.5
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2017,25.2
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2018,31.5
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2019,28.9
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2020,28.8
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,All,30.2
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2016,16.6
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2017,27.2
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2018,37.7
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2019,30.1
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2020,48
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,All,32
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2016,33.6
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2017,33.6
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2018,26.7
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2019,38
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2020,44.2
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,All,35.3
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2016,26.7
